,ID,Album,Artist,ISRC,Original Advance Amount,Additional Recoupable Costs,Total Recoupable Costs,Currency,Release Date,First Revenue Date,Contractual Artist Split,Contractual Artist Split After Recoupment,Contract Term (months),Legacy: Expected Time to Repay (in P&L months excluding months where no revenue at the time of the investment),Legacy: Expected time to repay month,Expected Payback Period,1 Year Cum Expected Revenue,2 Year Cum Expected Revenue,3 Year Cum Expected Revenue,Number of Streaming Services above 2,Number of Streams & Youube Views (as of pool cut date),Total Gross Royalty Revenue Earned,Total Instrumental Split of Revenue,Total Artist Revenue,Total Revenue Paid to Artist,Total Expected Revenue to date,Actual to Expected Revenue,Outstanding principal / advance,Revenue Month (i.e. number of months receiving revenue),Currency.1,Expected Repayment Term,Max Advance,Minimum Streaming Services,Inactivity (received revenue vs expected - tested after 6 months from origination date),ELIGIBLITY CRITERIA CHECK,EXCEPTION LOAN,STATUS,Monthly Revenue Collected,3/9 Month Average monthly collections,Remaining Term,Remaining PV Term,Future Revenue,Revenue until Artist Recoups,Future Cashflows 3 years,Eligible Portfolio Value,Net Eligible Portfolio Value (*80%),Buyback?,Buyback Amount,Buyback Date,Agreement with Company,Date of Agreement
10,2wGXzIAux8In47rYvvy1YS,He Say She Say,Latto,USRC12001415,68204,2810,2897,USD,2023-06-01,2023-07-01,0.1388085003,0.1869140155,26,10,15,22,8267,8152,6088,2,89145,49239,90370,71434,55471,73275,0.3949179837,41799,29,USD,29,494576,2,1,1,0,Active,8900,3655,22,33,433327,129700,173182,411784,136569,Yes,425268,2023-12-31,Agreement 1,2023-06-01
11,55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,QMCE32000097,33707,3784,4593,USD,2023-06-01,2023-07-01,0.3059957352,0.3587654718,24,8,11,34,4422,9234,5720,4,51324,22159,92526,41479,18671,60999,0.874547699,83170,10,USD,34,490558,2,0,0,1,Inactive,1150,5507,14,22,421564,492010,288061,289903,422344,No,332907,2023-12-31,Agreement 3,2023-06-01
12,5HiqRAvXWjyBVoQBCom2rx,Conocerte,Bad Bunn,GX3Q92375768,48319,2596,2252,USD,2023-06-01,2023-07-01,0.2100917029,0.20599086,32,18,23,14,1335,5562,2485,3,94100,17815,28063,63523,66487,58536,0.2419581552,38086,31,USD,31,428746,3,0,0,0,Inactive,8071,3132,20,31,149121,285796,215581,387715,446856,No,284466,2023-12-31,Agreement 4,2023-06-01
13,7cFFhb9Wz2ZXLSpEk2VDKd,Way Up,Jaden,QMJMT1801985,63273,2008,3373,USD,2023-06-01,2023-07-01,0.4279593787,0.2502340454,24,8,12,28,3504,1602,7382,3,22820,54887,27957,27051,19985,17837,0.6659849569,85941,25,USD,16,353417,1,1,0,0,Inactive,8366,8413,26,32,372023,493493,165410,481008,351836,No,178654,2023-12-31,Agreement 4,2023-06-01
14,2HYeSE78ngSfNUaQu0kyXn,New Wave,Wizz Havinn,QZQAY2304420,75581,2048,1419,USD,2023-06-01,2023-07-01,0.1357863806,0.382153464,23,23,14,30,9716,6294,9268,2,84676,22439,13936,27970,81048,88796,0.9648418951,93941,12,USD,27,478073,3,0,0,0,Inactive,3639,6274,31,17,411945,362436,436924,115140,254725,No,124232,2023-12-31,Agreement 1,2023-06-01
15,02tO6ZalO34vImCrOpuWF3,Chinita Linda,Alvaro Diaz,USUM72118891,38523,2646,3783,USD,2023-06-01,2023-07-01,0.4411053284,0.1544051067,18,11,6,24,6210,6337,4012,3,36466,23509,21881,25131,44608,73392,0.7070702998,92048,31,USD,33,349068,4,0,1,0,Active,2244,9300,20,20,480487,474762,157668,399524,376499,No,128044,2023-12-31,Agreement 2,2023-06-01
16,4a17WC0Cf5hSKFD6ts57mk,Molly Cyrus,Stitches,TCACE1568206,35325,4849,4559,USD,2023-06-01,2023-07-01,0.3095556254,0.1169968111,17,21,13,18,2516,6826,7697,3,72571,33806,19112,78840,13419,23669,0.30095619,17243,27,USD,12,276786,3,0,0,1,Active,9034,1924,33,32,184338,233761,248920,365999,466465,Yes,417998,2023-12-31,Agreement 2,2023-06-01
17,51PIWHd972caWU65TRGFUD,Pretty Faded,Corx,DEUE22017360,42409,1122,3344,USD,2023-06-01,2023-07-01,0.4558051151,0.4698845583,24,12,12,30,8372,1139,7770,3,30380,50760,55393,68128,98586,44036,0.694144891,82123,29,USD,20,160061,1,1,0,1,Active,1879,4809,20,28,476155,425961,253911,222306,265625,No,126516,2023-12-31,Agreement 1,2023-06-01
18,4QWXSTeUHFzU0INh7SNqSU,Feel Like This,Ingrid Andress,USWB12200760,38447,1826,4227,USD,2023-06-01,2023-07-01,0.1506383572,0.4320872838,34,10,21,18,9882,5442,1618,4,41193,59976,26802,64477,26683,30621,0.2119494147,64957,33,USD,32,484596,4,0,1,1,Active,6371,4981,15,31,214902,369148,228455,431568,472754,No,359419,2023-12-31,Agreement 1,2023-06-01
19,10wIWe1nfH6zwVslqX3Xoy,Aconcagua,Slumberville,SEWKB1910003,55988,2447,2906,USD,2023-06-01,2023-07-01,0.1701636762,0.4831195864,32,22,12,32,3486,2611,5997,1,57586,31242,73024,80779,93266,51306,0.333004104,42362,20,USD,12,134386,1,1,0,1,Active,8452,5047,24,31,335241,369545,411038,323475,295411,Yes,329046,2023-12-31,Agreement 4,2023-06-01
20,7ngdkrVQPgP3AoIxUrTpHT,Who Do You Love?,YG,USUM71400720,22862,1285,4875,USD,2023-06-01,2023-07-01,0.1498469181,0.4034278476,33,11,23,15,4979,5981,3054,4,56051,76323,69817,95362,81253,91268,0.6577839286,22003,22,USD,22,100706,1,1,0,1,Active,9396,8645,21,33,156688,132135,180765,142707,437314,Yes,340759,2023-12-31,Agreement 2,2023-06-01
21,5N8KsYJ8IEMQVw33JvytW8,Falling Asleep,Naturelle,SE5IB2163181,86052,3606,4958,USD,2023-06-01,2023-07-01,0.138833145,0.3756317996,23,22,13,24,6873,1066,2847,1,42583,51979,84225,62987,43509,14884,0.977121476,80569,12,USD,13,460155,2,0,0,0,Inactive,9395,7608,19,31,293130,164928,164523,125901,315299,Yes,372309,2023-12-31,Agreement 3,2023-06-01
22,6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,GBUM72106057,33896,2588,4326,USD,2023-06-01,2023-07-01,0.4310153658,0.4944974367,22,23,21,29,3070,1433,4686,3,50541,40516,73082,88602,62190,68270,0.8846146426,69549,23,USD,33,394910,3,0,0,1,Inactive,9300,2541,21,24,257529,427717,432134,353515,247402,No,482912,2023-12-31,Agreement 3,2023-06-01
23,0JcgDliDqDac8iOFFRm7tZ,Spinning Around,Kylie Minogue,GBAYE0000351,43478,1399,2957,USD,2023-06-01,2023-07-01,0.2758501168,0.2695729813,18,7,14,25,1415,1404,7638,4,27463,66683,43523,86088,74739,56375,0.3173793623,22029,23,USD,23,484636,2,0,1,0,Active,2701,3468,34,17,149134,432168,201343,183080,378057,Yes,252099,2023-12-31,Agreement 3,2023-06-01
24,6cC9RY7MoUx5z3aHjDTNI6,Never Let Me Go,Florence + The Machine,GBUM71107580,69486,3583,3319,USD,2023-06-01,2023-07-01,0.4875549503,0.4658134453,32,20,19,18,7472,1719,4050,2,96943,81758,86331,24093,51941,96950,0.1467988138,50638,27,USD,17,449133,2,1,0,1,Inactive,2281,6090,31,20,168858,436144,392786,319492,187022,Yes,384928,2023-12-31,Agreement 1,2023-06-01
25,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,USAT21601930,14788,2120,1171,USD,2023-06-01,2023-07-01,0.1071415366,0.4853780018,22,20,20,24,5559,3930,4391,1,67027,72133,99583,17176,58796,66903,0.8947694342,20949,15,USD,32,262047,4,0,0,0,Inactive,6793,5685,18,27,422892,261900,253657,130287,487477,No,237212,2023-12-31,Agreement 2,2023-06-01
26,5XijZhriH57s8iqbQ3WbZ0,Sigue el Ritmo,Rey,CH6542331858,58569,1862,4329,USD,2023-06-01,2023-07-01,0.1014872799,0.3216131033,25,13,20,26,8320,2777,3675,1,81830,61653,23980,42299,45061,66754,0.3770231278,80783,18,USD,23,374041,4,0,1,1,Inactive,7819,2623,19,23,294456,146930,412585,170223,306408,Yes,444341,2023-12-31,Agreement 2,2023-06-01
27,6kAye2WmX9RVnheY3QmF54,Ambush In The Night,Bob Marley & The Wailers,USIR27900009,78696,2105,3548,USD,2023-06-01,2023-07-01,0.3001760192,0.3110872901,33,17,11,30,8401,5446,3748,2,32240,17870,46454,18363,70610,33147,0.7023739382,57441,15,USD,25,247290,2,1,1,0,Inactive,3676,6161,18,15,403509,420799,391103,215277,187908,No,440150,2023-12-31,Agreement 3,2023-06-01
28,7soJgKhQTO8hLP2JPRkL5O,One Call Away,Charlie Puth,USAT21502703,26131,3479,2736,USD,2023-06-01,2023-07-01,0.2038660762,0.2566139578,25,18,20,29,6211,9018,5743,1,71882,28783,64060,37989,17851,31616,0.8619565819,61422,35,USD,16,293064,4,1,1,0,Active,3281,6859,35,13,413108,496467,327090,427242,412753,No,357540,2023-12-31,Agreement 3,2023-06-01
29,0vtJ9Dq53hfXE3KyP1yPni,40oz. To Freedom,Sublime,USGA19244445,49697,1015,2644,USD,2023-06-01,2023-07-01,0.4703319708,0.1186236591,28,22,22,30,8118,6382,1489,3,22455,46649,36907,51203,32162,81535,0.3644602106,53424,17,USD,21,319253,4,1,1,0,Inactive,6810,4701,31,33,159772,420278,317889,290194,241386,Yes,343065,2023-12-31,Agreement 4,2023-06-01
30,7s6k1kBnYX42rhTYvfsBJB,This Is House,Richar Beat,ESA011832283,46738,3126,3513,USD,2023-06-01,2023-07-01,0.1362571506,0.2861629252,33,15,10,19,5318,5236,2942,1,62616,62666,40492,45761,46208,17795,0.5820508272,45036,10,USD,17,309306,2,0,1,0,Inactive,1399,4505,25,30,173485,384312,497988,416829,303714,No,207245,2023-12-31,Agreement 3,2023-06-01
31,3jaUMGTyi4XHBZpXpIWzo2,My Romance - Rudy Van Gelder Remaster,Gene Ammons,USFI86000083,66977,3671,1417,USD,2023-06-01,2023-07-01,0.4967768143,0.107461665,33,18,20,22,1872,1325,7676,1,69764,23974,64618,48344,15939,11730,0.3990584776,10195,23,USD,20,218577,1,0,1,0,Inactive,4165,8357,19,16,479082,414241,398712,487913,164058,No,315368,2023-12-31,Agreement 2,2023-06-01
32,4Elu2UYX3GQZKrmsmKNztH,House of Wh0,Wh0,GBSCL5619004,85091,2808,3341,USD,2023-06-01,2023-07-01,0.2175308446,0.363944054,16,7,23,34,3957,3994,2582,2,33641,34048,25662,69367,94676,92039,0.8760581604,37299,13,USD,16,164045,4,1,0,1,Active,2064,5974,19,12,288140,420709,131684,321026,478753,No,432158,2023-12-31,Agreement 2,2023-06-01
33,6nzCvAtyADh0wwZEVMoujK,By My Side,JUNNY,KRA382000590,55085,3079,3397,USD,2023-06-01,2023-07-01,0.4103572122,0.2818398822,32,9,8,18,1903,3434,6693,1,52694,60330,84220,68485,45491,23603,0.8136496925,54453,31,USD,24,439196,4,1,0,0,Active,9653,5643,23,21,409190,163804,199366,345194,170680,Yes,175234,2023-12-31,Agreement 2,2023-06-01
34,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,GBARL0300589,27760,3263,3329,USD,2023-06-01,2023-07-01,0.2889427395,0.3363424646,14,10,12,29,2632,7146,1802,2,17470,78460,65134,80300,63085,52435,0.9347516038,64049,26,USD,25,404123,3,0,0,0,Active,3848,1010,28,17,122920,134699,158945,300701,468452,No,176470,2023-12-31,Agreement 1,2023-06-01
35,6HeNUULX82iVEtAey22aUH,a place where middle class memories are made,no.notnow,QZFZ72031090,11955,4365,1921,USD,2023-06-01,2023-07-01,0.444509984,0.4996193245,26,16,20,28,5906,4401,5976,1,13455,40069,70925,77917,59493,46944,0.6916560895,37531,19,USD,12,284547,2,0,0,0,Active,2756,9147,34,31,100715,146853,376138,185571,431998,No,195616,2023-12-31,Agreement 3,2023-06-01
36,25wdC7CJmCJPgnKw9rYquJ,maybe (feat. Bring Me The Horizon),Machine Gun Kelly,USUM72112368,95387,4895,4497,USD,2023-06-01,2023-07-01,0.1547756269,0.1052600853,21,20,23,31,4635,4060,4374,1,41762,12679,37202,50897,92546,35494,0.36228246,66353,27,USD,29,297031,3,1,1,0,Inactive,5852,2820,26,21,335208,335804,317418,104983,209094,Yes,223722,2023-12-31,Agreement 4,2023-06-01
37,1aOkr7wJMtUYkv0mE3hz2N,Don't Cry Over Me,Matthew Nolan,QZDA52013844,38009,2009,3301,USD,2023-06-01,2023-07-01,0.454159229,0.2220980639,33,15,23,35,2776,4732,4243,3,85492,98375,18074,44854,93712,27327,0.3830483249,29846,12,USD,14,221093,2,0,1,0,Active,5579,5875,17,26,211574,178055,129551,352444,227423,Yes,321857,2023-12-31,Agreement 1,2023-06-01
38,6fyj8DYAUlrjDcJBOVnYEB,Simple Love Song,Anuhea,TCADW1820401,35320,3092,3488,USD,2023-06-01,2023-07-01,0.2059832989,0.1231430898,12,21,20,27,7711,3409,1289,4,23866,86191,12050,85791,86776,97629,0.8091373735,73687,7,USD,18,106821,4,1,0,1,Active,2605,2623,23,24,263638,313431,239850,258400,341117,Yes,285664,2023-12-31,Agreement 3,2023-06-01
39,0jlhw92SQq77a7AGNV41ap,A Dance at the Crossroads,Oscar Blue,TCAEG1914594,85584,2975,3446,USD,2023-06-01,2023-07-01,0.3169150988,0.3690818192,19,21,23,24,7267,4244,4616,4,43632,34060,81986,38808,23257,23651,0.735836223,66965,16,USD,22,191659,1,0,1,0,Active,5943,9527,32,12,291521,203353,227498,170531,126449,No,105564,2023-12-31,Agreement 2,2023-06-01
40,5oTCj47iqYLxzE0fOxYbLL,Silhouettes,Niebla Valley,SE6RB2205158,85879,4840,2125,USD,2023-06-01,2023-07-01,0.3238689074,0.4505802295,20,6,16,34,8038,7781,8422,3,13547,16530,65096,85364,67883,48674,0.2099299097,82916,27,USD,35,164906,4,0,0,1,Active,3512,2485,24,15,453960,204015,221920,209472,305738,Yes,444364,2023-12-31,Agreement 4,2023-06-01
41,3GVmuXATyp9JAiAcwASlTJ,"Tethered, Wrapped Around",Dekker,QZFZ21971954,69930,3099,2120,USD,2023-06-01,2023-07-01,0.4241306803,0.1214655157,13,19,12,24,2819,5365,6727,3,39712,19434,36240,17447,14412,99510,0.8738671618,54336,33,USD,27,245474,1,0,0,0,Inactive,3307,9474,19,12,267216,362579,107323,357118,122947,No,446356,2023-12-31,Agreement 2,2023-06-01
42,0YTKtvWqIfXqFGVtHpcB4L,Coyhaique,Gabriel Rocha,GBWUL1914086,16065,2311,4155,USD,2023-06-01,2023-07-01,0.1103559907,0.4813497986,27,12,7,19,1040,2100,4834,2,77172,87656,18379,94765,83467,75774,0.2154055425,54648,32,USD,35,223527,2,1,0,0,Inactive,1045,9750,16,19,383788,180486,393650,349384,383377,Yes,162714,2023-12-31,Agreement 4,2023-06-01
43,0cgy8EueqwMuYzOZrW5vPB,C'est La Vie (with bbno$ & Rich Brian),Yung Gravy,USUM72217863,28161,4691,4260,USD,2023-06-01,2023-07-01,0.126136393,0.2833590342,30,12,11,14,4016,7545,9731,2,18086,94938,76631,93236,77995,82218,0.1610366345,26073,15,USD,24,492312,1,0,0,1,Inactive,2013,1100,23,26,262491,271058,153335,152861,240892,Yes,418693,2023-12-31,Agreement 3,2023-06-01
44,6YF39hgvXdooA2B3bbgWT6,Broken Love,MO3,USUYG1326799,20434,4068,4826,USD,2023-06-01,2023-07-01,0.2669772317,0.2688436592,17,8,12,30,1208,9199,4667,4,28850,65128,69792,53865,37887,76107,0.3090477543,37172,24,USD,28,125725,2,1,0,0,Inactive,4644,6907,34,16,111618,365319,194769,367783,213155,No,301091,2023-12-31,Agreement 2,2023-06-01
45,5sSYvDVyP0CP9TUiqy3fuF,Cradles,Sub Urban,GB2LD1800949,35674,4095,1084,USD,2023-06-01,2023-07-01,0.3483933533,0.1773648357,16,11,20,30,9018,6290,6931,3,49067,95970,90342,82692,97485,77957,0.3966509542,91136,31,USD,31,230147,1,1,0,1,Active,8184,3900,13,35,267874,417196,166377,373877,335682,Yes,344457,2023-12-31,Agreement 1,2023-06-01
46,73cxQgenp7OhuEbucd5NWH,Roses Are Red (Violets Are Blue),Jon Caryl,UK6KW2000262,86878,4521,2138,USD,2023-06-01,2023-07-01,0.3851033682,0.2570624051,26,7,18,26,8167,7025,1979,4,12973,60851,87190,27817,91571,15388,0.7528519403,37226,9,USD,16,337080,3,1,1,0,Active,2088,1205,14,22,321896,142239,407835,152394,110684,No,345334,2023-12-31,Agreement 1,2023-06-01
47,6r9Ne6FMYscfxALQkRsG3F,Idrc,Jon Caryl,GBSMU7879160,42669,3708,1042,USD,2023-06-01,2023-07-01,0.1763511925,0.4561647416,16,13,11,32,6016,9500,4408,3,19129,11982,51481,13750,42814,28288,0.7397980007,34851,12,USD,27,196316,4,1,0,1,Active,8807,8514,12,31,497990,310673,310190,338488,408766,Yes,489922,2023-12-31,Agreement 2,2023-06-01
48,12ikI7x45T7SZo5760dUhb,13 Months,Jon Caryl,GBSMU7547561,82223,1935,1672,USD,2023-06-01,2023-07-01,0.3905578219,0.4800314474,27,11,15,25,6953,3472,7422,1,34172,47618,27511,43584,15727,31047,0.6941615878,68228,10,USD,26,395632,1,1,0,0,Active,2034,4019,33,14,311208,435741,150964,133946,328638,No,443287,2023-12-31,Agreement 3,2023-06-01
49,3EgYjeMKHY8GV8Qtjp1W4P,Catherine the Great,Jon Caryl,GBSMU7774212,62042,1096,4825,USD,2023-06-01,2023-07-01,0.2057722656,0.4144382189,28,15,15,33,7359,7592,5524,2,85417,60073,28920,46678,63286,61475,0.2822584457,46996,17,USD,15,221316,4,1,0,0,Inactive,8762,5400,12,12,123140,267546,449809,115475,282101,No,315889,2023-12-31,Agreement 2,2023-06-01
50,7Es4zOBTNjhVdUZbFhiAPm,Evil,Surfer Girl,GBWUL2203139,91489,3154,4119,USD,2023-06-01,2023-07-01,0.1669573277,0.1640986873,27,10,21,32,6949,5460,5744,4,43695,41220,92003,37866,74174,96967,0.3342228146,84870,13,USD,15,138766,4,1,0,1,Inactive,3424,4599,30,15,289563,385448,146322,468403,448987,No,348273,2023-12-31,Agreement 2,2023-06-01
51,3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,AUUM71800255,74857,4099,2205,USD,2023-06-01,2023-07-01,0.1594883148,0.2506325515,12,21,23,17,9119,4085,7578,4,37811,57594,43514,28413,70009,70042,0.456190432,98291,17,USD,28,371081,1,1,0,1,Active,4099,2690,28,33,300026,236207,265789,355705,393644,No,225318,2023-12-31,Agreement 3,2023-06-01
52,6a5AULmLVw7BHqDsX2OsuX,Original Sin,Sofi Tukker,QM37X2100013,63069,1903,2552,USD,2023-06-01,2023-07-01,0.246721451,0.4136536704,15,12,16,20,8197,7217,5788,2,95281,45198,11136,62495,39264,46132,0.2372739988,99022,33,USD,15,467381,1,1,1,1,Active,3858,2750,16,34,292683,159356,495237,379231,435921,Yes,438254,2023-12-31,Agreement 2,2023-06-01
53,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,QMZSY1600015,45194,3066,4841,USD,2023-06-01,2023-07-01,0.3583971564,0.1385302453,24,16,19,27,4049,6792,1897,4,97077,26041,82761,27639,89314,76944,0.9388455075,57678,21,USD,23,152128,4,1,0,0,Inactive,2144,1530,16,19,353031,295336,108301,198705,378694,No,199992,2023-12-31,Agreement 2,2023-06-01
54,3IlkJrKnLcrdRr90WjHECd,You Can Do Better,C.LACY,TCAED1989264,60010,4291,2201,USD,2023-06-01,2023-07-01,0.4339326387,0.4238929103,27,17,9,19,7466,2346,3674,1,79713,49357,32838,31194,35841,28278,0.8464188143,42904,30,USD,31,444383,4,1,0,0,Active,5078,1177,27,34,495684,454996,300823,138900,408989,No,374591,2023-12-31,Agreement 3,2023-06-01
55,3G834kaE2HDOXXjz3H6ctj,Last Song,Toosii,USUM72221414,44982,3534,3880,USD,2023-06-01,2023-07-01,0.2964285449,0.3245022245,21,14,21,22,2016,7676,6315,4,61297,87772,18109,50447,34115,74829,0.7926619904,58049,14,USD,21,488552,1,0,1,0,Active,6566,8268,27,24,449316,221921,249374,112207,197136,Yes,367777,2023-12-31,Agreement 4,2023-06-01
56,2MxHuZWC99rsELX9SrCW7K,Buenos Días,Wisin,USSD12100941,23061,4886,2126,USD,2023-06-01,2023-07-01,0.1771774658,0.3182249218,19,12,17,19,6191,7261,5596,3,60475,56704,75796,33342,70091,95460,0.1584634697,13024,32,USD,12,308466,2,0,0,1,Active,1536,3683,22,35,454663,362085,264413,428640,307260,No,282493,2023-12-31,Agreement 2,2023-06-01
57,0LdlVrH3R9PCfaVNNVANgl,Aires De Navidad,Héctor Lavoe,USDBB0601693,45442,4214,3141,USD,2023-06-01,2023-07-01,0.1060666433,0.2457139872,24,17,23,12,4648,5003,5644,1,92915,95410,69207,36302,73155,15266,0.7056647596,91670,29,USD,24,271686,3,1,0,0,Active,8169,4224,25,16,203312,404656,278615,247429,190265,No,412637,2023-12-31,Agreement 4,2023-06-01
58,2UREu1Y8CO4jXkbvqAtP7g,Monster,Skillet,USAT20901851,94443,2259,3789,USD,2023-06-01,2023-07-01,0.3650297879,0.198570393,27,8,23,27,8116,9033,2167,1,10808,63171,17695,59240,82351,93982,0.1872172402,75343,22,USD,14,413833,2,0,0,1,Inactive,2721,4573,12,21,488375,470022,106495,182291,164652,No,420119,2023-12-31,Agreement 3,2023-06-01
59,1ITSr1tMba4sXhQQsm7VkB,More Of You,Chris Stapleton,USUM71418086,12118,1842,3148,USD,2023-06-01,2023-07-01,0.203330181,0.4069426532,32,20,14,35,5430,8601,8484,3,42314,67297,58966,48935,62543,69582,0.2424178168,99716,30,USD,30,387250,4,1,0,0,Active,5197,3454,17,28,108172,259524,275062,168580,136227,Yes,207160,2023-12-31,Agreement 4,2023-06-01
60,7MFENYk1e5lgzQ2eibTd9X,Don't Fall in Love With Me,Tiger Hawkins,GBLFP2050474,84294,1555,2833,USD,2023-06-01,2023-07-01,0.308986881,0.3291619149,30,13,12,21,4307,4703,3163,4,56563,90317,87789,34317,20565,26579,0.6557637429,70221,32,USD,22,220434,2,0,1,1,Inactive,8003,7963,18,32,449351,400322,467098,311647,466548,No,418325,2023-12-31,Agreement 4,2023-06-01
